                   V       A     L    D          p
Эксперимент № 1 | 0.2318  0.11  0.2  0.00035 | 1.013203
Эксперимент № 2 | 0.2736  0.13  0.2  0.00036 | 1.070576
Эксперимент № 3 | 0.1900  0.09  0.2  0.00036 | 1.073880
Эксперимент № 4 | 0.3166  0.15  0.2  0.00035 | 1.014835
Эксперимент № 5 | 0.2948  0.14  0.2  0.00037 | 1.131469
Эксперимент № 6 | 0.2110  0.10  0.2  0.00036 | 1.073315
Эксперимент № 7 | 0.2822  0.09  0.3  0.00035 | 1.005076
Эксперимент № 8 | 0.3133  0.10  0.3  0.00037 | 1.122308
Эксперимент № 9 | 0.3442  0.11  0.3  0.00036 | 1.061137
Эксперимент №10 | 0.4080  0.13  0.3  0.00036 | 1.064315
Эксперимент №11 | 0.4388  0.14  0.3  0.00036 | 1.062899
Эксперимент №12 | 0.4700  0.15  0.3  0.00037 | 1.122428
Эксперимент №13 | 0.4676  0.09  0.5  0.00035 | 0.999235
Эксперимент №14 | 0.5192  0.10  0.5  0.00037 | 1.115932
Эксперимент №15 | 0.5705  0.11  0.5  0.00036 | 1.055280
Эксперимент №16 | 0.6763  0.13  0.5  0.00036 | 1.058524
Эксперимент №17 | 0.7269  0.14  0.5  0.00036 | 1.056456
Эксперимент №18 | 0.7798  0.15  0.5  0.00036 | 1.057783
Эксперимент №19 | 0.7798  0.15  0.5  0.00036 | 1.057783

Результат р=1.064023±0.140688
